iIssueId,Resumen,GPT4,labels,modificacion,inconcluso
14793,"Se solicitó la corrección del origen del Lote 1490, que estaba seleccionado como AccouutId CIBANCO, generando un error en el reporte. Tras la corrección realizada por Francisco, el origen se ajustó a Pago Domiciliado (Carga Archivo Pagos) IdOrigen = 39. Se confirmó la solución por parte de Concepción Carrión.",No,"corrección, origen de movimiento, pago domiciliado, cibanco",Sí,No
14794,"Se reportó que el reporte Stock de Clientes no incluía la información de la columna Bucket con el dato del clasificador de cobranza (vClassificationId). Tras la solicitud de corrección realizada por Carolina y la intervención de Francisco, se ajustó el reporte para incluir la información requerida. Sin embargo, el proyecto fue suspendido indefinidamente a partir del 11 de noviembre de 2019.",No,"reporte, stock de clientes, bucket, vclassificationid",Sí,No
14795,"Se solicitó la creación de un reporte ""MOVTOS BURSA NOMINA (CERRADOS) CAPITAL"" por parte de Blanquita. Tras la autorización de la cotización y el desarrollo del proceso en pruebas por parte de Alejandro, se procedió a habilitar el reporte en producción para el perfil Administrador. Se cerró el ticket con la confirmación de su correcto funcionamiento.",No,"reporte, movimientos bursa, nomina, cerrados, capital",Sí,No
14796,"Se solicitó la carga masiva de promesas de pago, generando dudas sobre el Layout a utilizar. Tras la corrección de la cotización y la habilitación del proceso en pruebas por parte de Alejandro, se identificaron inconsistencias en la carga de promesas. Tras diversas correcciones y pruebas, se logró implementar el proceso en producción y se cerró el ticket con la confirmación de su correcto funcionamiento.",No,"carga masiva, promesas de pago",Sí,No
14797,"Se reportaron problemas con los créditos reestructurados que no aparecían en las listas correspondientes. A pesar de los intentos de clarificación por parte de Javier y la programación de una llamada para resolver el incidente, no se logró obtener un caso concreto que evidenciara el problema. El ticket fue cerrado sin solución definitiva.",No,"créditos, reestructurados, listas, auditoría, cobranza",No,Sí
14798,"Se solicitó cambiar el estatus del crédito 451455 de ""Cancelado"" a ""Cerrado"" debido a un error en la selección de la opción. Tras la corrección realizada por Alejandro, el estatus se actualizó correctamente a ""Cerrado"" y se notificó al cliente, finalizando así el proceso de manera exitosa.",No,,,
14799,"Se requirió liberar un proceso de GoCredit para el usuario OHERRERA, el cual fue realizado por Francisco y confirmado por José. Tras la validación de Enrique Gonzalez, se logró solucionar el proceso de manera satisfactoria.",No,,,
14800,"Se solicitó cotizar un proceso para descargar expedientes completos en formato PDF, el cual fue validado por Karina y Paco. Tras varias correcciones realizadas por Alfredo y Alejandro, se logró configurar correctamente el proceso en producción, siendo validado por Ulises y finalizando con éxito.",No,,,
14801,"Se solicitó revisar un producto financiero con periodicidad semanal, CF91-01, para verificar la simulación de la tabla de amortización. Tras explicar que la base afecta a los saldos insolutos y no a los intereses, se recibieron comentarios del usuario y se validó la tabla de amortización, concluyendo el ticket de manera satisfactoria.",No,,,
14802,"Se reportó un error en el RFC de la solicitud 546120, el cual llegaba incorrecto a Zell. Tras revisar los datos originales y confirmar que la información no fue modificada manualmente, se determinó que la persona ya existía en el sistema, finalizando el ticket con éxito.",No,,,
14803,"El ticket se originó como un error en el proceso Maestro de Comisiones, el cual estaba atorado. Tras la intervención de Francisco, el proceso fue desatorado y finalmente Karla confirmó que quedó resuelto.",No,,,
14804,"En este ticket se trató de un requerimiento para verificar si el crédito 456670 fue enviado a STP. Tras confirmar que no existía envío de dispersión, se procedió a enviar información al cliente y se intentó contactar sin éxito. Finalmente, Karla decidió cancelar el proceso.",No,,,
14805,"Se trató de un error en el proceso de Saldos de Cartera por Convenio, el cual quedó congelado. ISIS solicitó ayuda para reanudar el proceso, el cual fue ejecutado exitosamente y se notificó al cliente.",No,,,
14806,"El ticket se originó por un problema en la captura de solicitudes de productos ONL, donde los campos llegaban bloqueados. Tras investigar, se determinó que era necesario desverificar los datos de la persona para poder modificar la solicitud. Finalmente, Karla decidió cancelar el requerimiento.",No,,,
14807,"En este ticket se planteó una diferencia entre los reportes de quebrantos y los saldos contables en el sistema. A pesar de solicitar información a Edgar para analizar el problema, no se recibió respuesta y finalmente se decidió cerrar el ticket sin resolver la discrepancia.",No,,,
14808,"Se reporta un problema con los créditos que muestran saldo en la columna diferencia de los saldos contables. A pesar de las revisiones realizadas, no se encontró la causa de esta discrepancia. Finalmente, el ticket se cierra sin haber resuelto el problema.",No,,,
14809,"Se solicita sincronizar el ambiente de testing con desarrollo, priorizando la actualización de datos del mercado secundario. Tras la actualización, se confirma que tanto la base de datos como el mercado secundario han sido actualizados correctamente, y se proporciona el timestamp para futuras referencias.",No,,,
14810,"Se reporta un error al ejecutar el reporte de auditoría de cobranza, el cual fue corregido satisfactoriamente. Tras la corrección, se confirma que el reporte se visualiza correctamente y se notifica al cliente para su revisión.",No,,,
14811,"Se plantea la necesidad de configurar la dispersión de créditos con dos cuentas distintas para BBVA y STP. Tras varias comunicaciones y ajustes en los procesos, se logra dispersar desde ambas cuentas con éxito, cerrando el ticket una vez confirmado el correcto funcionamiento.",No,"stp, bbva, procesos automáticos",Sí,No
